sample_id,batch_group,priority,length_mm,width_mm,height_mm,d_conductor_um,d_ceramics_mm,leg_length_mm,leg_width_mm,pitch_mm,Tref_K,dT0_K,expected_n_pairs,expected_n_length,expected_n_width,expected_leg_height_mm
100,core_40,1,3.7408,4.7546,2.5574,78.49,0.1421,0.7912,0.6055,0.2583,302.82,50.0,5,2,5,2.11622
101,core_40,2,5.5277,4.9056,1.9128,89.14,0.2847,1.1684,0.6392,0.2756,341.09,50.0,5,2,5,1.16512
102,core_40,3,6.9462,2.1848,3.7419,84.23,0.23,0.5384,0.6642,0.2552,310.44,50.0,8,8,2,3.11344
103,core_40,4,6.8933,4.9487,1.2704,143.2,0.1317,0.7713,0.6152,0.4375,326.8,50.0,8,4,4,0.7206
104,core_40,5,6.3006,4.6602,3.4609,141.2,0.4301,0.527,0.8035,0.2583,349.27,50.0,12,6,4,2.3183
105,core_40,6,6.0092,4.7168,1.6109,53.3,0.4086,0.5352,0.6636,0.322,314.89,50.0,12,6,4,0.6871
106,core_40,7,6.7431,4.2428,2.5741,118.71,0.2293,0.5007,0.6819,0.2961,300.6,50.0,16,8,4,1.87808
107,core_40,8,6.8745,4.596,2.4467,133.54,0.3037,0.5109,0.6401,0.3094,344.23,50.0,16,8,4,1.57222
108,core_40,9,6.9,4.9,3.2,75.0,0.2,0.5,0.6,0.25,340.0,50.0,20,8,5,2.65
109,core_40,10,7.0,5.0,2.5,100.0,0.3,0.5,0.6,0.25,323.15,50.0,20,8,5,1.7
110,core_40,11,4.0779,4.547,3.5955,56.2,0.4302,0.5136,1.1093,0.7354,300.12,50.0,2,2,2,2.6227
111,core_40,12,5.9142,1.5589,1.2733,78.33,0.2243,0.7953,0.6727,0.3399,349.65,50.0,2,4,1,0.66804
112,core_40,13,2.1694,2.7804,1.3556,135.49,0.1125,0.6224,0.6539,0.2978,347.45,50.0,2,2,2,0.85962
113,core_40,14,2.8283,2.0347,3.3849,137.9,0.1088,0.5434,0.9235,0.2598,300.83,50.0,1,2,1,2.8915
114,core_40,15,5.0002,2.6066,3.7497,53.77,0.1148,0.7661,0.652,0.6858,300.34,50.0,1,2,1,3.41256
115,core_40,16,2.7617,1.5394,1.7098,59.27,0.1273,0.5528,0.6217,0.302,305.75,50.0,1,2,1,1.33666
116,core_40,17,6.6505,2.1708,1.957,128.27,0.4321,0.5031,0.6339,0.6133,302.5,50.0,2,4,1,0.83626
117,core_40,18,2.0388,4.1718,3.3251,145.33,0.4408,0.5069,0.641,0.2855,305.58,50.0,4,2,4,2.15284
118,core_40,19,6.6138,2.2026,2.1969,54.61,0.1537,1.089,0.6749,0.7312,338.26,50.0,1,2,1,1.78028
119,core_40,20,2.9285,3.9554,3.6589,54.44,0.1094,0.5638,1.0916,0.4045,326.88,50.0,2,2,2,3.33122
120,core_40,21,5.0194,2.7431,3.6915,117.07,0.1891,0.8748,1.1806,0.7399,302.76,50.0,1,2,1,3.07916
121,core_40,22,3.0137,1.8934,3.7347,50.64,0.3838,0.5709,0.6891,0.4562,341.0,50.0,1,2,1,2.86582
122,core_40,23,4.8347,4.0955,1.3135,142.32,0.4049,0.5259,1.049,0.7497,303.23,50.0,1,2,1,0.21906
123,core_40,24,4.0715,1.8489,1.4673,114.98,0.1001,1.1255,0.6208,0.2694,308.86,50.0,1,2,1,1.03714
124,core_40,25,3.8862,2.0572,1.3079,55.28,0.2112,1.1521,1.1207,0.2972,349.34,50.0,1,2,1,0.77494
125,core_40,26,5.1045,2.577,3.7322,125.23,0.4224,0.5563,1.1481,0.3377,305.28,50.0,2,4,1,2.63694
126,core_40,27,5.2759,4.9188,3.6383,148.36,0.1586,1.1873,0.6133,0.606,346.05,50.0,3,2,3,3.02438
127,core_40,28,6.7779,1.6272,3.5303,86.88,0.1953,1.1479,0.7035,0.3566,345.96,50.0,2,4,1,2.96594
128,core_40,29,5.5111,2.1656,1.2536,145.41,0.1034,0.606,1.1588,0.3876,348.98,50.0,2,4,1,0.75598
129,core_40,30,2.7703,3.3072,1.453,54.27,0.4061,0.5121,0.7126,0.256,346.16,50.0,3,2,3,0.53226
130,core_40,31,2.6268,4.942,2.1529,55.3,0.3478,0.6242,1.1503,0.2584,300.94,50.0,3,2,3,1.3467
131,core_40,32,4.5904,3.8942,1.5997,144.58,0.3637,1.162,0.7648,0.7283,320.29,50.0,2,2,2,0.58314
132,core_40,33,6.8759,4.7254,3.6972,50.52,0.3211,0.5447,0.8971,0.6727,343.68,50.0,4,4,2,2.95396
133,core_40,34,3.0234,2.6027,3.4554,129.77,0.1308,0.9709,0.6847,0.2517,345.24,50.0,2,2,2,2.93426
134,core_40,35,6.9303,4.0798,3.5313,66.96,0.1182,0.607,1.0925,0.4712,300.93,50.0,4,4,2,3.16098
135,core_40,36,3.3269,4.3316,1.2579,148.03,0.1126,1.0777,0.9733,0.2596,339.76,50.0,3,2,3,0.73664
136,core_40,37,3.4832,1.5189,1.3532,64.59,0.4421,0.7651,0.7468,0.2578,305.4,50.0,1,2,1,0.33982
137,core_40,38,6.3841,4.1374,2.4445,56.74,0.4468,0.6781,0.6055,0.7446,304.25,50.0,2,2,2,1.43742
138,core_40,39,3.0288,4.8523,1.6525,141.85,0.4455,0.7639,0.6494,0.3721,342.14,50.0,4,2,4,0.4778
139,core_40,40,6.7525,1.9097,1.3999,51.19,0.102,1.1859,0.8851,0.3609,306.95,50.0,2,4,1,1.09352
140,extension_10,41,3.2819,2.5343,1.4416,64.14,0.1226,0.5497,1.0301,0.4121,347.95,50.0,1,2,1,1.06812
141,extension_10,42,6.2284,4.4922,3.6182,67.33,0.3961,0.6206,1.1499,0.2657,348.86,50.0,6,6,2,2.69134
142,extension_10,43,3.2763,3.9394,3.7085,147.73,0.1803,0.9885,1.1803,0.3006,312.6,50.0,2,2,2,3.05244
143,extension_10,44,6.9265,4.3129,1.2969,58.43,0.1266,0.6658,0.6927,0.6486,345.59,50.0,4,4,2,0.92684
144,extension_10,45,6.9822,1.5614,1.8557,96.84,0.4348,1.1866,0.7154,0.2711,334.43,50.0,2,4,1,0.79242
145,extension_10,46,6.8577,4.1231,3.6642,110.06,0.4488,0.6815,1.1998,0.6396,330.24,50.0,2,4,1,2.54648
146,extension_10,47,6.656,1.6104,3.6776,108.95,0.4117,1.1949,0.8929,0.3326,300.04,50.0,2,4,1,2.6363
147,extension_10,48,6.4275,4.7966,1.3062,59.47,0.3121,0.532,1.0763,0.6807,300.86,50.0,4,4,2,0.56306
148,extension_10,49,2.7392,4.9094,3.5903,53.98,0.4232,0.7776,0.8083,0.3088,320.26,50.0,4,2,4,2.63594
149,extension_10,50,4.5269,4.2938,3.3737,73.36,0.1251,1.1296,1.0908,0.3011,348.2,50.0,2,2,2,2.97678
