sample_id,length_mm,width_mm,height_mm,d_conductor_um,d_ceramics_mm,leg_length_mm,leg_width_mm,pitch_mm,Tref_K,dT0_K,
0,4.1551,4.3503,3.266,55.35,0.2394,1.3399,1.4373,0.552,340.31,18.03,
1,4.8835,1.7546,1.5668,125.23,0.3737,0.7984,1.1007,0.2922,320,58.58,
2,6.9326,3.7111,2.5977,77.22,0.3918,0.7109,1.7842,0.4461,311.01,69.39,
3,6.1732,2.5363,3.5921,96.62,0.4125,0.7109,0.6744,0.6856,333.3,23.66,
4,5.6429,4.903,1.9301,144.71,0.3196,0.6055,1.3199,0.5918,347.77,34.47,
5,3.3954,2.2936,2.9262,74.72,0.2649,1.0016,0.9088,0.3164,318.07,77.13,
6,3.8058,4.1072,2.0609,91.72,0.3491,1.2058,1.5146,0.3812,303.51,39.62,
7,5.1544,3.2,3.0961,115.61,0.257,0.6867,0.7286,0.6489,336.32,62.69,
8,6.0369,4.3363,1.4792,63.6,0.2015,0.8347,1.2616,0.6206,345.31,55.98,
9,3.003,1.6858,3.6863,143.72,0.4047,1.3078,1,0.3492,315.62,11.33,
10,6.5222,2.0061,2.3699,56.33,0.1566,0.5109,1.1924,0.263,322.87,27.77,
11,4.669,3.5526,3.3678,108.23,0.2872,0.9714,1.6883,0.483,308.42,21.06,
12,4.2915,2.659,1.7858,84.44,0.3091,1.3898,0.8267,0.735,325.6,46.24,
13,4.3628,3.6789,3.0448,147.63,0.2144,0.5444,1.0667,0.4911,335.12,26.82,
14,4.5986,2.7815,2.1268,70.62,0.3801,1.0635,1.4807,0.7274,305.42,49.78,
15,6.573,4.7624,3.6301,119.5,0.362,1.4154,0.8141,0.5108,313.63,78.34,
16,2.4656,2.1081,1.5403,98.76,0.2324,0.9423,1.7525,0.2705,346.44,33.26,
17,3.2293,4.2078,2.4261,80.55,0.272,0.6498,0.631,0.5975,324.83,61.91,
18,5.3626,4.0129,1.8371,52.41,0.4243,1.2787,0.9405,0.4045,326.79,43.26,
19,3.5991,3.1018,3.3019,129.33,0.1789,0.8604,1.2789,0.6251,306.48,68.34,
20,3.462,4.803,1.6669,111.94,0.3977,0.91,0.6852,0.5681,321.16,30.93,
21,5.5778,2.2034,3.1708,82.68,0.1898,1.4515,1.5486,0.3396,338.34,71.37,
22,6.2189,3.2546,2.3316,133.81,0.2452,1.0389,1.0316,0.43,330.15,47.45,
23,2.2504,3.8073,3.4871,66.14,0.316,0.7733,1.1584,0.4537,331.39,66.02,
24,6.7101,2.951,1.3582,139.22,0.2989,1.3694,1.4218,0.7018,301.71,36.29,
25,5.0866,4.467,2.8261,88.01,0.1683,1.1444,0.8677,0.5444,316.93,12.37,
26,3.9529,1.8811,2.0253,117.37,0.4465,0.7483,1.6567,0.3003,349.75,54.93,
27,4.0267,3.7521,1.4163,130.41,0.2674,0.5926,0.8059,0.3346,305.81,15.91,
28,5.0116,2.8995,3.7406,50.35,0.3265,1.0501,1.7419,0.571,335.49,60.69,
29,6.7875,4.4185,2.0847,102.26,0.4197,1.4637,1.0773,0.6673,346.04,67.4,
30,2.6602,4.9715,3.4246,97.7,0.219,0.7293,0.9699,0.6909,340.88,50.96,
31,6.3013,2.3621,1.7253,121.53,0.385,1.1322,1.3059,0.4664,323.7,25.64,
32,5.4979,3.4164,2.7623,69.54,0.3666,1.3582,0.604,0.3109,307.68,32.35,
33,3.5407,2.5774,2.3912,149.71,0.2372,0.7532,1.6156,0.5317,328,79.25,
34,3.6778,4.2678,2.6215,116.69,0.3018,0.9536,1.0235,0.7246,337.92,37.51,
35,5.2827,1.6174,2.2113,90.44,0.285,1.4354,1.2101,0.496,320.73,64.8,
36,5.8913,4.0661,3.2032,138.54,0.1541,1.0825,0.6957,0.2736,310.19,53.99,
37,3.1482,3.1589,1.6211,68.6,0.4326,0.5566,1.5567,0.5059,330.5,13.32,
38,2.3894,3.5116,1.9124,61.52,0.4119,0.8481,0.897,0.3602,302.88,72.55,
39,6.6504,2.6181,2.9476,131.35,0.2037,1.2597,1.6836,0.6082,332.58,29.75,
40,4.5236,4.602,1.3246,83.36,0.2594,1.2192,1.1315,0.6379,348.59,18.94,
41,4.4366,1.9379,3.5317,109.52,0.356,0.6386,1.3926,0.3938,315.78,48.36,
42,4.2151,4.7213,2.2724,72.47,0.1858,1.2965,1.7759,0.6459,318.77,24.56,
43,4.7466,2.0671,2.5653,145.6,0.4267,0.8147,0.7625,0.3862,339.09,52.04,
44,6.4471,3.6105,1.6871,94.37,0.3335,0.6677,1.4479,0.3521,329.31,75.96,
45,3.0817,3.9447,2.8816,105.57,0.2255,1.402,1.3493,0.2503,333.78,59.51,
46,5.9568,3.0336,1.9637,76.36,0.3595,0.9904,0.9359,0.5296,300.97,17.09,
47,3.7246,1.5263,1.3808,54.44,0.2072,1.1115,0.645,0.4724,347.45,70.59,
48,3.3142,3.3229,3.6502,87.07,0.4443,1.1573,1.2535,0.2873,337.4,28.67,
49,5.7253,2.4801,1.5214,107.76,0.1612,0.6997,0.9895,0.5548,304.6,73.63,
